individual	time	statistic	proportion	rate_eur2afr	replicate
eur_3	36000	direct f4-ratio	0.042311288036430535	0	2
eur_4	34000	direct f4-ratio	0.05081576645857837	0	2
eur_5	32000	direct f4-ratio	0.027714949184233544	0	2
eur_6	30000	direct f4-ratio	0.03968756597002322	0	2
eur_7	28000	direct f4-ratio	0.02611658976446817	0	2
eur_8	26000	direct f4-ratio	0.02123103833046835	0	2
eur_9	24000	direct f4-ratio	0.039898670044331855	0	2
eur_10	22000	direct f4-ratio	0.03048945987514702	0	2
eur_11	20000	direct f4-ratio	0.04695557767122048	0	2
eur_12	18000	direct f4-ratio	0.02068819928224615	0	2
eur_13	16000	direct f4-ratio	0.027051479236406408	0	2
eur_14	14000	direct f4-ratio	0.04659368497240568	0	2
eur_15	12000	direct f4-ratio	0.057540939111553426	0	2
eur_16	10000	direct f4-ratio	0.045990530474381015	0	2
eur_17	8000	direct f4-ratio	0.03872251877318376	0	2
eur_18	6000	direct f4-ratio	0.04020024729334419	0	2
eur_19	4000	direct f4-ratio	0.032751289242739526	0	2
eur_20	2000	direct f4-ratio	0.027202267860912573	0	2
eur_21	0	direct f4-ratio	0.03615911215657891	0	2
eur_1	40000	direct f4-ratio	0.05342317410660571	0.025	2
eur_2	38000	direct f4-ratio	0.05474672121285044	0.025	2
eur_3	36000	direct f4-ratio	0.04611358440620864	0.025	2
eur_4	34000	direct f4-ratio	0.07357718686078692	0.025	2
eur_5	32000	direct f4-ratio	0.04782817952111659	0.025	2
eur_6	30000	direct f4-ratio	0.03871375285765853	0.025	2
eur_7	28000	direct f4-ratio	0.05685236433642161	0.025	2
eur_8	26000	direct f4-ratio	0.04584285886174949	0.025	2
eur_9	24000	direct f4-ratio	0.05874744314763567	0.025	2
eur_10	22000	direct f4-ratio	0.06437251834917579	0.025	2
eur_11	20000	direct f4-ratio	0.06491396943809409	0.025	2
eur_12	18000	direct f4-ratio	0.08557935266514259	0.025	2
eur_13	16000	direct f4-ratio	0.07210323667428709	0.025	2
eur_14	14000	direct f4-ratio	0.05026470942124895	0.025	2
eur_15	12000	direct f4-ratio	0.043105522801106966	0.025	2
eur_16	10000	direct f4-ratio	0.06452292142943088	0.025	2
eur_17	8000	direct f4-ratio	0.06073276380700277	0.025	2
eur_18	6000	direct f4-ratio	0.05805558897846229	0.025	2
eur_19	4000	direct f4-ratio	0.04175189507881121	0.025	2
eur_20	2000	direct f4-ratio	0.04969317771627964	0.025	2
eur_21	0	direct f4-ratio	0.04545181085308627	0.025	2
eur_1	40000	direct f4-ratio	-0.0030897716322254003	0.05	2
eur_2	38000	direct f4-ratio	0.015999510531226578	0.05	2
eur_3	36000	direct f4-ratio	0.012573229117273658	0.05	2
eur_4	34000	direct f4-ratio	0.019701118130229286	0.05	2
eur_5	32000	direct f4-ratio	0.0073420316013276836	0.05	2
eur_6	30000	direct f4-ratio	0.021995503005644186	0.05	2
eur_7	28000	direct f4-ratio	0.018691588785046728	0.05	2
eur_8	26000	direct f4-ratio	0.011257781788702449	0.05	2
eur_9	24000	direct f4-ratio	0.0069749300212613	0.05	2
eur_10	22000	direct f4-ratio	0.008045642963121586	0.05	2
eur_11	20000	direct f4-ratio	0.006210135062789666	0.05	2
eur_12	18000	direct f4-ratio	0.007556174189699742	0.05	2
eur_13	16000	direct f4-ratio	0.01908928216345198	0.05	2
eur_14	14000	direct f4-ratio	0.017865610229897366	0.05	2
eur_15	12000	direct f4-ratio	0.013552166664117349	0.05	2
eur_16	10000	direct f4-ratio	0.03172369487740337	0.05	2
eur_17	8000	direct f4-ratio	0.018385670801658077	0.05	2
eur_18	6000	direct f4-ratio	0.024626397662786605	0.05	2
eur_19	4000	direct f4-ratio	0.01269559631062912	0.05	2
eur_20	2000	direct f4-ratio	0.011655475167107698	0.05	2
eur_21	0	direct f4-ratio	0.013827492849167138	0.05	2
eur_1	40000	direct f4-ratio	0.022880496390430164	0.07500000000000001	2
eur_2	38000	direct f4-ratio	0.02729550742795776	0.07500000000000001	2
eur_3	36000	direct f4-ratio	0.01959906926794344	0.07500000000000001	2
eur_4	34000	direct f4-ratio	0.049191575681641904	0.07500000000000001	2
eur_5	32000	direct f4-ratio	0.010798878348547222	0.07500000000000001	2
